R_BOOT,40.64,109.22,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,94.71,54.53,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,57.15,109.22,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,72.39,77.47,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL2,137.16,12.70,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL3,133.35,12.70,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,21.59,109.22,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SCK,57.15,1.28,0.00,TPTP20R,TP20R
SENSOR2,130.81,7.61,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,30.48,89.09,0.00,,SJ
TX,1.28,67.60,0.00,TPTP20R,TP20R
U1,50.37,40.61,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.96,54.61,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,84.55,51.99,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,153.67,12.70,0.00,MAX17048G+T10,SON50P200X200X80-9N
VBAT,90.92,74.60,0.00,TPTP20R,TP20R
VBUS,124.37,64.52,0.00,TPTP20R,TP20R
